TokenID		Value
300			harshi_kaneria_
301			50
420			,
415			]
419			}
417			)
416			(
319			/=
311			=
305			--
414			[
304			++
306			==
315			/
310			>=
314			*
433			return
432			do
318			*=
428			signed
445			default
302			-65.45
425			double
421			;
475			if
308			<=
439			case
424			float
436			void
423			int
300			_name
431			while
437			switch
443			static
426			bool
301			+456
422			short
301			10
441			goto
444			union
438			break
430			for
442			long
303			%
301			-345
418			{
440			continue
427			char
476			else
429			unsigned
302			+9.76
